id_usuario,probability_repeat_page,probability_repeat_page_except_initial,number_pages_repeated,number_pages_repeated_except_inital,number_pages_accessed
1001,0.6770833333333334,0.5104166666666666,65.0,49.0,96
1243,0.8275627309861895,0.8151137910912274,8509.0,8381.0,10282
1306,0.34285714285714286,0.3142857142857143,24.0,22.0,70
1344,0.35435435435435436,0.3408408408408408,236.0,227.0,666
1417,0.71875,0.7109375,184.0,182.0,256
1419,0.32,0.32,8.0,8.0,25
1420,0.05714285714285714,0.05714285714285714,2.0,2.0,35
1421,0.0,0.0,0.0,0.0,4
1423,0.2857142857142857,0.2857142857142857,8.0,8.0,28
1427,0.44214876033057854,0.4380165289256198,321.0,318.0,726
1497,0.35465924895688455,0.34075104311543813,255.0,245.0,719
1519,0.5877862595419847,0.5763358778625954,308.0,302.0,524
1522,0.37518248175182484,0.35912408759124087,257.0,246.0,685
1524,0.7547169811320755,0.7547169811320755,40.0,40.0,53
1577,0.27228915662650605,0.25542168674698795,113.0,106.0,415
1621,0.21428571428571427,0.18571428571428572,15.0,13.0,70
1622,0.4381067961165049,0.42839805825242716,361.0,353.0,824
1623,0.5714285714285714,0.5523809523809524,60.0,58.0,105
1624,0.2318181818181818,0.21818181818181817,102.0,96.0,440
1625,0.1881720430107527,0.14516129032258066,35.0,27.0,186
1627,0.12571428571428572,0.12,22.0,21.0,175
1629,0.21940928270042195,0.2109704641350211,52.0,50.0,237
1631,0.10526315789473684,0.10526315789473684,4.0,4.0,38
1632,0.5625,0.5416666666666666,27.0,26.0,48
1637,0.41651376146788993,0.4036697247706422,227.0,220.0,545
1638,0.3304794520547945,0.3270547945205479,193.0,191.0,584
1639,0.4482758620689655,0.41379310344827586,65.0,60.0,145
1640,0.23076923076923078,0.07692307692307693,3.0,1.0,13
1642,0.16923076923076924,0.1576923076923077,44.0,41.0,260
1644,0.2664233576642336,0.2572992700729927,146.0,141.0,548
1646,0.3541666666666667,0.3541666666666667,17.0,17.0,48
1647,0.27058823529411763,0.23529411764705882,23.0,20.0,85
1648,0.2,0.2,9.0,9.0,45
1649,0.9457831325301205,0.944578313253012,785.0,784.0,830
1650,0.6666666666666666,0.6666666666666666,4.0,4.0,6
1651,0.22862453531598512,0.21561338289962825,123.0,116.0,538
1652,0.1413427561837456,0.13604240282685512,80.0,77.0,566
1654,0.5409836065573771,0.47540983606557374,33.0,29.0,61
1656,0.32608695652173914,0.3233695652173913,120.0,119.0,368
1660,0.2894736842105263,0.23684210526315788,11.0,9.0,38
1661,0.27986348122866894,0.2627986348122867,82.0,77.0,293
1663,0.5324675324675324,0.4805194805194805,41.0,37.0,77
1664,0.35789473684210527,0.35789473684210527,34.0,34.0,95
1665,0.14042553191489363,0.13617021276595745,33.0,32.0,235
1666,0.4126984126984127,0.31746031746031744,26.0,20.0,63
1669,0.05263157894736842,0.05263157894736842,1.0,1.0,19
1673,0.15436241610738255,0.15436241610738255,23.0,23.0,149
1675,0.36666666666666664,0.36666666666666664,11.0,11.0,30
1676,0.3780487804878049,0.3628048780487805,124.0,119.0,328
1677,0.5035460992907801,0.5035460992907801,71.0,71.0,141
1680,0.05263157894736842,0.05263157894736842,3.0,3.0,57
1681,0.12244897959183673,0.12244897959183673,6.0,6.0,49
1682,0.5833333333333334,0.5,7.0,6.0,12
1683,0.4385171790235081,0.43309222423146476,485.0,479.0,1106
1684,0.47619047619047616,0.4557823129251701,70.0,67.0,147
1686,0.18888888888888888,0.16666666666666666,17.0,15.0,90
1687,0.11380145278450363,0.11138014527845036,47.0,46.0,413
1689,0.52,0.5114285714285715,182.0,179.0,350
1690,0.9838709677419355,0.9838709677419355,244.0,244.0,248
1692,0.33565459610027853,0.33147632311977715,241.0,238.0,718
1693,0.3285198555956679,0.3249097472924188,91.0,90.0,277
1694,0.3583180987202925,0.3436928702010969,196.0,188.0,547
1695,0.3548387096774194,0.3271889400921659,77.0,71.0,217
1696,0.23076923076923078,0.23076923076923078,3.0,3.0,13
1699,0.13114754098360656,0.13114754098360656,8.0,8.0,61
1700,0.2,0.16,5.0,4.0,25
1701,0.1111111111111111,0.08888888888888889,20.0,16.0,180
1702,0.15666666666666668,0.15333333333333332,47.0,46.0,300
1703,0.4,0.4,2.0,2.0,5
1705,0.25396825396825395,0.25396825396825395,32.0,32.0,126
1707,0.6,0.575,72.0,69.0,120
1708,0.5168539325842697,0.5056179775280899,92.0,90.0,178
1710,0.0,0.0,0.0,0.0,10
1711,0.5564325177584846,0.494869771112865,705.0,627.0,1267
1713,0.14285714285714285,0.14285714285714285,4.0,4.0,28
1714,0.28125,0.28125,9.0,9.0,32
1715,0.37735849056603776,0.3018867924528302,20.0,16.0,53
1716,0.13513513513513514,0.10810810810810811,5.0,4.0,37
1717,0.4146341463414634,0.3780487804878049,34.0,31.0,82
1718,0.3125,0.25,5.0,4.0,16
1719,0.4444444444444444,0.4166666666666667,16.0,15.0,36
1720,0.2,0.2,1.0,1.0,5
1722,0.30952380952380953,0.29365079365079366,117.0,111.0,378
1723,0.29853181076672103,0.28874388254486133,183.0,177.0,613
1724,0.43018867924528303,0.3987421383647799,342.0,317.0,795
1726,0.38333333333333336,0.36666666666666664,46.0,44.0,120
1727,0.37070254110612855,0.36771300448430494,248.0,246.0,669
1728,0.0,0.0,0.0,0.0,9
1729,0.2012448132780083,0.1970954356846473,97.0,95.0,482
1730,0.22916666666666666,0.22916666666666666,11.0,11.0,48
1731,0.48009650180940894,0.4752714113389626,398.0,394.0,829
1732,0.2490842490842491,0.24175824175824176,68.0,66.0,273
1733,0.6129032258064516,0.567741935483871,95.0,88.0,155
1735,0.28321678321678323,0.2762237762237762,81.0,79.0,286
1737,0.1111111111111111,0.1111111111111111,4.0,4.0,36
1738,0.11688311688311688,0.10909090909090909,45.0,42.0,385
1740,0.42857142857142855,0.35714285714285715,6.0,5.0,14
1742,0.38197424892703863,0.3562231759656652,89.0,83.0,233
1743,0.36363636363636365,0.3575757575757576,60.0,59.0,165
1744,0.4339622641509434,0.3490566037735849,46.0,37.0,106
1746,0.40789473684210525,0.3684210526315789,31.0,28.0,76
1747,0.0,0.0,0.0,0.0,1
1749,0.4116865869853918,0.3944223107569721,310.0,297.0,753
1750,0.4288747346072187,0.40976645435244163,202.0,193.0,471
1751,0.1935483870967742,0.12903225806451613,6.0,4.0,31
1756,0.14035087719298245,0.10526315789473684,8.0,6.0,57
1758,0.4,0.4,2.0,2.0,5
1760,0.5238095238095238,0.5079365079365079,33.0,32.0,63
1761,0.48214285714285715,0.45535714285714285,108.0,102.0,224
1762,0.11479591836734694,0.1096938775510204,45.0,43.0,392
